
Timestamp,Target,SlideNumber,Type,Source
2025-09-25T22:11:52.4998872-04:00,Highlight_1.2,1,OPEN,USER
2025-09-25T22:11:54.5780480-04:00,Highlight_1.2,1,CLOSE,SYSTEM
2025-09-25T22:12:13.6414574-04:00,Highlight_2.2,2,OPEN,USER
2025-09-25T22:12:14.6819869-04:00,Highlight_2.5,2,OPEN,USER
2025-09-25T22:12:15.4226318-04:00,Highlight_2.3,2,OPEN,USER
2025-09-25T22:12:17.1594151-04:00,Highlight_2.1,2,OPEN,USER
2025-09-25T22:12:17.9933231-04:00,Highlight_2.1,2,CLOSE,USER
2025-09-25T22:12:19.3331986-04:00,Highlight_2.1,2,OPEN,USER
2025-09-25T22:12:19.8607673-04:00,Highlight_2.1,2,CLOSE,USER
2025-09-25T22:12:20.2521156-04:00,Highlight_2.1,2,OPEN,USER
2025-09-25T22:12:21.3642000-04:00,Highlight_2.1,2,CLOSE,USER
