
Timestamp(ms),GaugeValue,HeadPos.x,HeadPos.y,HeadPos.z,HeadForward.x,HeadForward.y,HeadForward.z,GazePos.x,GazePos.y,GazePos.z,GazeDirection.x,GazeDirection.y,GazeDirection.z,AOIName
1758852452093,0,0.205,0.727,-0.007,0.049,0.601,0.798,0.086,0.364,0.497,0,0,1,None
1758852452199,0,0.205,0.727,-0.007,0.049,0.6,0.799,0.086,0.364,0.497,0,0,1,None
1758852452310,0,0.205,0.726,-0.006,0.047,0.594,0.803,0.086,0.363,0.498,0,0,1,None
1758852452418,0,0.204,0.725,-0.004,0.043,0.567,0.822,0.086,0.363,0.499,0,0,1,None
1758852452526,0,0.202,0.718,0,0.028,0.489,0.872,0.085,0.359,0.501,0,0,1,None
1758852452633,0,0.199,0.71,0.005,-0.016,0.375,0.927,0.083,0.355,0.502,0,0,1,None
1758852452747,0,0.196,0.701,0.01,-0.054,0.279,0.959,0.082,0.351,0.504,0,0,1,None
1758852452860,0,0.193,0.695,0.015,-0.065,0.212,0.975,0.081,0.348,0.507,0,0,1,None
1758852452971,0,0.191,0.692,0.02,-0.076,0.181,0.98,0.079,0.346,0.509,0,0,1,None
1758852453085,0,0.189,0.691,0.023,-0.078,0.172,0.982,0.079,0.346,0.51,0,0,1,None
1758852453196,0,0.189,0.69,0.023,-0.077,0.166,0.983,0.078,0.345,0.51,0,0,1,None
1758852453302,0,0.189,0.69,0.023,-0.081,0.167,0.983,0.078,0.345,0.51,0,0,1,None
1758852453413,0,0.188,0.69,0.023,-0.085,0.169,0.982,0.078,0.345,0.51,0,0,1,None
1758852453526,0,0.189,0.69,0.023,-0.082,0.168,0.982,0.078,0.345,0.51,0,0,1,None
1758852453638,0,0.189,0.69,0.023,-0.081,0.167,0.983,0.078,0.345,0.51,0,0,1,None
1758852453750,0,0.188,0.69,0.023,-0.082,0.165,0.983,0.078,0.345,0.51,0,0,1,None
1758852453862,0,0.189,0.69,0.023,-0.08,0.167,0.983,0.078,0.345,0.51,0,0,1,None
1758852453976,0,0.189,0.69,0.023,-0.081,0.168,0.983,0.078,0.345,0.51,0,0,1,None
1758852454083,0,0.189,0.69,0.023,-0.08,0.167,0.983,0.078,0.345,0.51,0,0,1,None
1758852454197,0,0.189,0.69,0.023,-0.08,0.167,0.983,0.078,0.345,0.51,0,0,1,None
1758852454304,0,0.188,0.69,0.023,-0.081,0.168,0.982,0.078,0.345,0.51,0,0,1,None
1758852454420,0,0.189,0.69,0.023,-0.08,0.169,0.982,0.078,0.345,0.51,0,0,1,None
1758852454529,0,0.189,0.69,0.023,-0.08,0.168,0.983,0.078,0.345,0.51,0,0,1,None
1758852454645,0,0.189,0.69,0.023,-0.079,0.169,0.982,0.078,0.345,0.51,0,0,1,None
1758852454750,0,0.189,0.69,0.022,-0.079,0.171,0.982,0.078,0.345,0.51,0,0,1,None
1758852454862,0,0.189,0.69,0.022,-0.079,0.17,0.982,0.078,0.345,0.51,0,0,1,None
1758852454975,0,0.189,0.69,0.022,-0.077,0.171,0.982,0.078,0.345,0.51,0,0,1,None
1758852455114,0,0.189,0.69,0.022,-0.078,0.171,0.982,0.078,0.345,0.51,0,0,1,None
1758852455222,0,0.189,0.69,0.022,-0.079,0.174,0.982,0.078,0.345,0.51,0,0,1,None
1758852455330,0,0.189,0.691,0.022,-0.078,0.176,0.981,0.078,0.345,0.51,0,0,1,None
1758852455420,0,0.189,0.691,0.022,-0.078,0.176,0.981,0.078,0.345,0.51,0,0,1,None
1758852455529,0,0.189,0.691,0.022,-0.079,0.177,0.981,0.078,0.345,0.51,0,0,1,None
1758852455640,0,0.189,0.691,0.022,-0.077,0.176,0.981,0.078,0.345,0.51,0,0,1,None
1758852455752,0,0.189,0.69,0.022,-0.077,0.175,0.981,0.078,0.345,0.51,0,0,1,None
1758852455866,0,0.189,0.69,0.022,-0.078,0.176,0.981,0.078,0.345,0.51,0,0,1,None
1758852455980,0,0.189,0.69,0.022,-0.077,0.175,0.982,0.078,0.345,0.51,0,0,1,None
1758852456105,0,0.189,0.69,0.022,-0.077,0.174,0.982,0.078,0.345,0.51,0,0,1,None
1758852456208,0,0.189,0.69,0.022,-0.078,0.173,0.982,0.078,0.345,0.51,0,0,1,None
1758852456336,0,0.189,0.69,0.023,-0.077,0.169,0.983,0.078,0.345,0.51,0,0,1,None
1758852456451,0,0.189,0.69,0.024,-0.075,0.183,0.98,0.078,0.345,0.511,0,0,1,None
1758852456562,0,0.19,0.694,0.037,-0.05,0.246,0.968,0.079,0.347,0.518,0,0,1,None
1758852456675,0,0.188,0.696,0.062,-0.034,0.288,0.957,0.078,0.348,0.531,0,0,1,None
1758852456785,0,0.182,0.704,0.091,-0.019,0.362,0.932,0.075,0.352,0.545,0,0,1,None
1758852456897,0,0.172,0.723,0.116,-0.002,0.445,0.896,0.07,0.36,0.558,0,0,1,None
1758852457009,0,0.162,0.738,0.141,0.001,0.462,0.887,0.065,0.367,0.571,0,0,1,None
1758852457122,0,0.152,0.747,0.163,-0.024,0.466,0.884,0.06,0.372,0.582,0,0,1,None
1758852457232,0,0.149,0.756,0.179,-0.04,0.483,0.875,0.058,0.376,0.59,0,0,1,None
1758852457347,0,0.145,0.763,0.198,-0.035,0.487,0.873,0.056,0.38,0.599,0,0,1,None
1758852457456,0,0.144,0.764,0.213,-0.03,0.443,0.896,0.056,0.382,0.606,0,0,1,None
1758852457567,0,0.141,0.766,0.227,-0.088,0.429,0.899,0.055,0.382,0.612,0,0,1,None
1758852457680,0,0.141,0.765,0.238,-0.089,0.4,0.912,0.054,0.382,0.618,0,0,1,None
1758852457815,0,0.143,0.766,0.246,-0.059,0.376,0.925,0.055,0.382,0.623,0,0,1,None
1758852457927,0,0.145,0.772,0.248,-0.027,0.429,0.903,0.056,0.385,0.624,0,0,1,None
1758852458042,0,0.146,0.777,0.249,0.03,0.47,0.882,0.057,0.388,0.625,0,0,1,None
1758852458153,0,0.148,0.778,0.25,0.055,0.482,0.874,0.058,0.389,0.626,0,0,1,None
1758852458261,0,0.146,0.777,0.253,0.049,0.468,0.883,0.057,0.388,0.628,0,0,1,None
1758852458374,0,0.144,0.777,0.257,0.036,0.455,0.89,0.056,0.388,0.629,0,0,1,None
1758852458629,0,0,-0.297,0.145,0,0,1,0.055,0.388,0.631,0,0,1,None
