
Timestamp(ms),GaugeValue,HeadPos.x,HeadPos.y,HeadPos.z,HeadForward.x,HeadForward.y,HeadForward.z,GazePos.x,GazePos.y,GazePos.z,GazeDirection.x,GazeDirection.y,GazeDirection.z,ObjLookingAt
1758856066203,81.282,0.006,0.821,0.22,-0.007,0.087,0.996,0.006,1.118,0.075,0.103,0.057,0.993,Slide 1
1758856066230,81.282,0.007,0.822,0.219,-0.009,0.097,0.995,0.006,1.118,0.075,0.103,0.058,0.993,Slide 1
1758856066236,81.282,0.007,0.822,0.219,-0.009,0.097,0.995,0.006,1.118,0.075,0.103,0.058,0.993,Slide 1
1758856066243,81.282,0.007,0.822,0.218,-0.009,0.097,0.995,0.006,1.118,0.075,0.103,0.058,0.993,Slide 1
1758856066314,81.282,0.007,0.822,0.218,-0.005,0.101,0.995,0.007,1.119,0.073,0.092,0.064,0.994,Slide 1
1758856066349,81.282,0.007,0.823,0.217,-0.002,0.104,0.995,0.007,1.119,0.072,0.097,0.061,0.993,Slide 1
1758856066422,81.282,0.007,0.822,0.217,-0.002,0.105,0.994,0.007,1.12,0.072,0.096,0.057,0.994,Slide 1
1758856066484,81.282,0.007,0.822,0.217,-0.001,0.103,0.995,0.007,1.119,0.072,0.151,0.002,0.989,Slide 1
1758856066534,81.282,0.007,0.822,0.217,-0.001,0.102,0.995,0.007,1.119,0.072,0.154,-0.001,0.988,Slide 1
1758856066606,81.282,0.008,0.822,0.217,0.001,0.104,0.995,0.008,1.12,0.072,0.156,0.001,0.988,Slide 1
1758856066639,81.282,0.008,0.822,0.217,0.003,0.105,0.995,0.008,1.119,0.072,0.157,0.002,0.988,Slide 1
1758856066720,81.282,0.008,0.823,0.217,0.004,0.105,0.994,0.008,1.12,0.072,0.155,-0.009,0.988,Slide 1
1758856066775,81.282,0.008,0.823,0.216,0.002,0.109,0.994,0.008,1.12,0.071,0.148,-0.006,0.989,Slide 1
1758856066850,81.282,0.008,0.823,0.216,0.003,0.109,0.994,0.008,1.12,0.071,0.145,-0.01,0.989,Slide 1
1758856066875,81.282,0.008,0.823,0.216,0.004,0.106,0.994,0.008,1.12,0.071,0.147,-0.015,0.989,Slide 1
1758856066951,81.282,0.008,0.823,0.216,0.004,0.108,0.994,0.008,1.12,0.071,0.147,-0.02,0.989,Slide 1
1758856066986,81.282,0.008,0.823,0.216,0.004,0.11,0.994,0.008,1.12,0.071,0.146,-0.016,0.989,Slide 1
1758856067062,81.282,0.008,0.823,0.216,0.007,0.108,0.994,0.008,1.12,0.071,0.144,-0.018,0.989,Slide 1
1758856067119,81.282,0.008,0.824,0.216,0.006,0.113,0.994,0.008,1.121,0.071,0.142,-0.018,0.99,Slide 1
1758856067177,81.282,0.008,0.824,0.216,0.003,0.114,0.993,0.008,1.121,0.071,0.132,-0.01,0.991,Slide 1
1758856067210,81.282,0.007,0.824,0.216,0,0.112,0.994,0.007,1.121,0.071,0.076,0.003,0.997,Slide 1
1758856067285,81.282,0.007,0.824,0.216,-0.002,0.116,0.993,0.007,1.121,0.071,-0.054,0.022,0.998,Slide 1
1758856067344,81.282,0.007,0.824,0.216,-0.004,0.117,0.993,0.007,1.121,0.071,-0.054,0.024,0.998,Slide 1
1758856067398,81.282,0.006,0.824,0.216,-0.007,0.115,0.993,0.006,1.121,0.071,-0.055,0.022,0.998,Slide 1
1758856067481,81.282,0.006,0.824,0.215,-0.009,0.119,0.993,0.006,1.121,0.071,-0.053,0.025,0.998,Slide 1
1758856067535,81.282,0.006,0.824,0.216,-0.009,0.12,0.993,0.006,1.121,0.07,-0.001,0.057,0.998,Slide 1
1758856067589,81.282,0.006,0.824,0.216,-0.009,0.12,0.993,0.006,1.121,0.071,0.015,0.06,0.998,Slide 1
1758856067641,81.282,0.006,0.825,0.216,-0.01,0.121,0.993,0.006,1.121,0.071,0.015,0.06,0.998,Slide 1
1758856067725,81.282,0.006,0.824,0.216,-0.01,0.123,0.992,0.006,1.121,0.071,0.01,0.057,0.998,Slide 1
1758856067755,81.282,0.006,0.824,0.216,-0.01,0.123,0.992,0.006,1.121,0.071,0.014,0.062,0.998,Slide 1
1758856067812,81.282,0.006,0.824,0.216,-0.011,0.121,0.993,0.006,1.121,0.071,0.052,0.079,0.996,Slide 1
1758856067865,81.282,0.006,0.824,0.215,-0.011,0.125,0.992,0.006,1.122,0.07,0.05,0.079,0.996,Slide 1
1758856067939,81.282,0.006,0.824,0.215,-0.01,0.124,0.992,0.006,1.121,0.07,0.054,0.087,0.995,Slide 1
1758856067972,81.282,0.007,0.825,0.215,-0.008,0.123,0.992,0.007,1.121,0.07,0.055,0.084,0.995,Slide 1
1758856068053,81.282,0.007,0.825,0.215,-0.009,0.125,0.992,0.007,1.122,0.07,-0.047,0.081,0.996,Slide 1
1758856068084,81.282,0.007,0.824,0.215,-0.01,0.126,0.992,0.007,1.121,0.07,-0.052,0.078,0.996,Slide 1
1758856068152,81.282,0.007,0.825,0.215,-0.01,0.124,0.992,0.007,1.121,0.07,-0.053,0.072,0.996,Slide 1
1758856068205,81.282,0.007,0.825,0.215,-0.013,0.128,0.992,0.007,1.122,0.07,-0.048,0.075,0.996,Slide 1
1758856068264,81.282,0.007,0.825,0.215,-0.013,0.127,0.992,0.007,1.122,0.07,-0.064,0.074,0.995,Slide 1
1758856068321,81.282,0.007,0.825,0.215,-0.015,0.124,0.992,0.007,1.121,0.07,-0.124,0.066,0.99,Slide 1
1758856068402,81.282,0.007,0.825,0.215,-0.016,0.127,0.992,0.007,1.122,0.07,-0.126,0.067,0.99,Slide 1
1758856068434,81.282,0.006,0.825,0.215,-0.018,0.128,0.992,0.006,1.122,0.07,-0.13,0.066,0.989,Slide 1
1758856068511,81.282,0.006,0.825,0.215,-0.018,0.126,0.992,0.006,1.122,0.07,-0.15,0.083,0.985,Slide 1
1758856068541,81.282,0.006,0.825,0.215,-0.02,0.125,0.992,0.006,1.122,0.07,-0.179,0.11,0.978,Slide 1
1758856068624,81.282,0.006,0.825,0.215,-0.023,0.129,0.991,0.006,1.122,0.07,-0.186,0.115,0.976,Slide 1
1758856068679,81.282,0.006,0.825,0.215,-0.024,0.126,0.992,0.006,1.122,0.07,-0.188,0.114,0.976,Slide 1
1758856068709,81.282,0.006,0.825,0.215,-0.024,0.125,0.992,0.006,1.122,0.07,-0.187,0.112,0.976,Slide 1
1758856068766,81.282,0.006,0.825,0.215,-0.023,0.127,0.992,0.006,1.122,0.07,-0.183,0.11,0.977,Slide 1
1758856068825,81.282,0.006,0.825,0.215,-0.023,0.126,0.992,0.006,1.122,0.07,-0.182,0.112,0.977,Slide 1
1758856068907,81.282,0.006,0.825,0.215,-0.023,0.126,0.992,0.006,1.122,0.07,-0.176,0.046,0.983,Slide 1
1758856068938,81.282,0.006,0.825,0.215,-0.025,0.128,0.991,0.006,1.122,0.07,-0.177,0.022,0.984,Slide 1
1758856068989,81.282,0.006,0.825,0.215,-0.026,0.129,0.991,0.006,1.122,0.07,-0.178,0.026,0.984,Slide 1
1758856069043,81.282,0.006,0.825,0.215,-0.026,0.126,0.992,0.006,1.122,0.07,-0.179,0.023,0.984,Slide 1
